sigma,eta
0.69166667,0.65
0.025,0.21666667
0.31666667,0.34166667
0.041666667,0.53333333
0.825,0.425
0.59166667,0.35
0.016666667,0.93333333
0.23333333,0.94166667
0.75833333,0.86666667
0.525,0.44166667
0.30833333,0.69166667
0.29166667,0.70833333
0.025,0.016666667
0.86666667,0.58333333
0.425,0.98333333
0.25,0.05
0.14166667,0.3
0.0083333333,0.89166667
0.725,0.041666667
0.3,0.925
0.48333333,0.2
0.91666667,0.58333333
0.81666667,0.33333333
0.33333333,0.43333333
0.38333333,0.9
0.39166667,0.53333333
0.016666667,0.11666667
0.125,0.5
0.7,0.55
0.7,0.5
0.96666667,0.675
0.68333333,0.60833333
0.46666667,0.05
0.84166667,0.5
0.76666667,0.38333333
0.875,0.05
0.81666667,0.49166667
0.775,0.31666667
0.75,0.99166667
0.40833333,0.091666667
0.48333333,0.65
0.041666667,0.2
0.76666667,0.9
0.10833333,0.75
0.54166667,0.80833333
0.45833333,0.35833333
0.54166667,0.56666667
0.59166667,0.38333333
0.033333333,0.2
0.19166667,0.78333333
0.075,0.49166667
0.74166667,0.31666667
0.525,0.93333333
0.725,0.70833333
0.59166667,0.975
0.51666667,0.083333333
0.98333333,0.575
0.975,0.44166667
0.44166667,0.35833333
0.066666667,0.11666667
0.36666667,0.44166667
0.26666667,0.41666667
0.49166667,0.94166667
0.775,0.25
0.033333333,0.53333333
1,0.31666667
0.99166667,0.94166667
0.75,0.93333333
0.46666667,0.74166667
0.6,0.28333333
0.98333333,0.10833333
0.16666667,0.34166667
0.36666667,0.63333333
0.9,0.0083333333
0.34166667,0.375
0.89166667,0.86666667
0.50833333,0.23333333
0.95833333,0.89166667
0.35833333,0.46666667
0.98333333,0.525
0.45,0.93333333
0.94166667,0.43333333
0.75833333,0.325
0.51666667,0.30833333
0.79166667,0.11666667
0.16666667,0.41666667
0.59166667,0.93333333
0.575,0.3
0.10833333,0.66666667
0.89166667,0.30833333
0.23333333,0.775
0.28333333,0.48333333
0.31666667,0.61666667
0.30833333,0.78333333
0.63333333,0.6
0.65833333,0.76666667
0.61666667,0.48333333
0.50833333,0.26666667
0.40833333,0.75
0.091666667,0.19166667
0.25,0.28333333
0.5,0.96666667
0.19166667,0.24166667
0.61666667,0.71666667
0.725,0.15
0.775,0.83333333
0.19166667,0.15833333
0.575,0.975
0.21666667,0.19166667
0.083333333,0.26666667
0.033333333,0.925
0.091666667,0.49166667
0.025,0.875
0.35,0.58333333
0.725,0.35
0.85,0.7
0.59166667,0.96666667
0.83333333,0.95
0.49166667,0.25833333
0.21666667,0.76666667
0.125,0.083333333
0.73333333,0.083333333
0.35,0.175
0.85833333,0.083333333
0.70833333,0.81666667
0.95,0.68333333
0.61666667,0.59166667
0.33333333,0.10833333
0.041666667,0.65833333
0.05,0.54166667
0.43333333,0.19166667
0.15833333,0.56666667
0.58333333,0.35
0.525,0.825
0.60833333,0.58333333
0.95,0.11666667
0.96666667,0.43333333
0.10833333,0.24166667
0.275,0.75833333
0.89166667,0.066666667
0.56666667,0.99166667
0.58333333,0.80833333
0.9,0.4
0.41666667,0.8
0.59166667,0.44166667
0.74166667,0.19166667
0.75833333,0.78333333
0.51666667,0.61666667
0.46666667,0.13333333
0.51666667,0.725
0.65833333,0.83333333
0.35833333,0.425
0.45,0.25
0.8,0.14166667
0.96666667,0.78333333
0.066666667,0.15833333
0.51666667,0.14166667
0.65833333,0.35
0.11666667,0.625
0.38333333,0.60833333
0.68333333,0.28333333
0.75,0.18333333
0.44166667,0.475
0.78333333,0.175
0.425,0.775
0.7,0.025
0.475,0.30833333
0.90833333,0.775
0.3,0.125
0.35,0.975
0.75833333,0.058333333
0.61666667,0.69166667
0.95833333,0.016666667
0.45833333,0.88333333
0.88333333,0.15833333
0.75833333,0.36666667
0.775,0.091666667
0.45833333,0.3
0.55833333,0.43333333
0.26666667,0.79166667
0.90833333,0.016666667
0.31666667,0.58333333
0.61666667,0.44166667
0.875,0.041666667
0.11666667,0.091666667
0.51666667,0.96666667
0.58333333,0.85
0.725,0.74166667
0.51666667,0.375
0.5,0.4
0.575,0.05
0.075,0.675
0.475,0.28333333
0.225,0.5
0.53333333,0.94166667
0.1,0.091666667
0.625,0.725
0.75833333,0.55833333
0.15,0.825
0.41666667,0.15
0.60833333,0.9
0.8,0.9
0.98333333,0.15
0.44166667,0.35
0.91666667,0.70833333
0.0083333333,0.425
0.4,0.225
0.98333333,0.6
0.575,0.65833333
0.48333333,0.33333333
0.15,0.23333333
0.63333333,0.083333333
0.35833333,0.6
0.0083333333,0.275
0.61666667,0.041666667
0.23333333,0.041666667
0.925,0.925
0.7,0.85833333
0.68333333,0.76666667
0.21666667,0.65833333
0.93333333,0.91666667
0.775,0.68333333
0.16666667,0.575
0.83333333,0.425
0.825,0.083333333
0.86666667,0.34166667
0.81666667,0.625
0.65,0.925
0.33333333,0.066666667
0.23333333,0.65
0.19166667,0.05
0.775,0.90833333
0.98333333,0.058333333
0.0083333333,0.058333333
0.65833333,0.46666667
0.75833333,0.91666667
0.45833333,0.16666667
0.125,1
0.19166667,0.875
0.18333333,1
0.11666667,0.80833333
0.38333333,0.025
0.25833333,0.083333333
0.15833333,0.675
0.625,0.24166667
0.825,0.85833333
0.875,0.93333333
0.31666667,0.29166667
0.875,0.925
0.11666667,0.39166667
0.73333333,0.20833333
0.55,0.75
0.53333333,0.23333333
0.78333333,0.89166667
0.8,0.375
0.79166667,0.58333333
0.40833333,0.13333333
0.18333333,0.13333333
0.55,0.275
0.43333333,0.35833333
0.84166667,0.38333333
0.19166667,0.56666667
0.39166667,0.95833333
0.425,0.26666667
0.83333333,0.85
0.36666667,0.875
0.66666667,0.48333333
0.325,0.45
0.775,0.76666667
0.33333333,0.525
0.033333333,0.55
0.95833333,0.45833333
0.81666667,0.775
0.99166667,0.9
0.59166667,0.65
0.575,0.26666667
0.4,0.84166667
0.8,0.05
0.083333333,0.84166667
0.083333333,0.94166667
0.925,0.55
0.70833333,0.24166667
0.48333333,0.43333333
0.24166667,0.44166667
0.41666667,0.29166667
0.15,0.83333333
0.05,0.45833333
0.35,0.66666667
0.98333333,0.025
0.40833333,0.96666667
0.15833333,0.84166667
0.63333333,0.81666667
0.95833333,0.21666667
0.8,0.28333333
0.475,0.875
0.94166667,0.78333333
0.925,0.75
0.16666667,0.725
0.21666667,0.25
0.79166667,0.65833333
0.35,0.86666667
0.375,0.25
0.28333333,0.99166667
0.18333333,0.75
0.8,0.091666667
0.13333333,0.79166667
0.88333333,0.94166667
0.1,0.10833333
0.53333333,0.98333333
0.20833333,0.16666667
0.80833333,0.8
0.91666667,0.29166667
0.16666667,0.75
0.9,0.425
0.675,0.3
0.3,0.98333333
0.85833333,0.21666667
0.51666667,0.73333333
0.73333333,0.16666667
0.25,0.11666667
0.76666667,0.75
0.61666667,0.23333333
0.975,0.43333333
0.56666667,0.48333333
0.7,0.61666667
0.3,0.15833333
0.98333333,0.65
0.84166667,0.16666667
0.94166667,0.95
0.24166667,0.70833333
0.35,0.033333333
0.925,0.725
0.81666667,0.31666667
0.45,0.60833333
0.11666667,0.55833333
0.1,0.05
0.125,0.21666667
0.71666667,0.43333333
0.61666667,0.65833333
0.45,0.43333333
0.85,0.091666667
0.925,0.95833333
0.9,0.78333333
0.53333333,0.4
0.65833333,0.49166667
0.89166667,0.175
0.35833333,0.23333333
0.25,0.55833333
0.65,0.525
0.43333333,0.41666667
0.0083333333,0.71666667
0.091666667,0.425
0.925,0.65833333
0.59166667,0.8
0.15833333,0.625
0.78333333,0.50833333
0.94166667,0.93333333
0.79166667,0.81666667
0.45,0.15
0.40833333,0.98333333
0.49166667,0.725
0.23333333,0.25833333
0.30833333,0.83333333
0.45,0.675
0.8,0.175
0.091666667,0.63333333
0.29166667,0.10833333
0.60833333,0.45
0.25,0.925
0.50833333,0.325
0.14166667,0.725
0.45833333,0.18333333
0.49166667,0.425
0.81666667,0.99166667
0.19166667,0.066666667
0.75833333,0.93333333
0.11666667,0.23333333
0.033333333,0.95
0.98333333,0.24166667
0.88333333,0.61666667
0.375,0.20833333
0.63333333,0.28333333
0.575,0.40833333
0.25,0.875
0.55,0.66666667
0.79166667,0.63333333
0.7,0.54166667
0.05,0.95833333
0.46666667,0.73333333
0.058333333,0.5
0.21666667,0.98333333
0.45833333,0.033333333
0.85833333,0.18333333
0.53333333,0.65
0.36666667,0.041666667
0.75,0.80833333
0.925,0.33333333
0.95833333,0.4
0.21666667,0.18333333
0.40833333,0.49166667
0.98333333,0.4
0.81666667,0.29166667
0.71666667,0.49166667
0.55,0.19166667
0.90833333,0.18333333
0.033333333,0.64166667
0.38333333,0.45
0.31666667,0.94166667
0.70833333,0.125
0.70833333,0.64166667
0.96666667,0.7
0.625,0.91666667
0.2,0.05
0.71666667,0.10833333
0.40833333,0.90833333
0.33333333,0.575
0.425,0.075
0.325,0.55833333
0.79166667,0.325
0.55,0.725
0.88333333,0.66666667
0.066666667,0.775
0.16666667,0.30833333
0.7,0.71666667
0.30833333,0.95
0.66666667,0.94166667
0.033333333,0.18333333
0.15,0.0083333333
0.61666667,0.825
0.28333333,0.80833333
0.80833333,0.0083333333
0.88333333,0.21666667
0.21666667,0.7
0.96666667,0.025
0.21666667,0.65
0.85833333,0.825
0.39166667,0.83333333
0.65,0.225
0.61666667,1
0.56666667,0.14166667
0.98333333,0.41666667
0.375,0.41666667
0.125,0.125
0.26666667,0.425
0.066666667,0.025
0.56666667,0.016666667
0.55,0.23333333
0.33333333,0.5
0.98333333,0.94166667
0.3,0.05
0.025,0.75833333
0.35833333,0.4
0.48333333,0.7
0.40833333,0.70833333
0.84166667,0.71666667
0.80833333,0.016666667
0.76666667,0.95833333
0.56666667,0.0083333333
0.5,0.25833333
0.69166667,0.9
0.49166667,0.90833333
0.88333333,0.625
0.7,0.033333333
0.825,0.69166667
0.48333333,0.175
0.16666667,0.93333333
0.70833333,0.675
0.9,0.8
0.91666667,0.1
0.5,0.51666667
0.825,0.95
0.28333333,0.95833333
0.14166667,0.24166667
0.53333333,0.058333333
0.29166667,0.575
0.99166667,0.425
0.4,0.99166667
0.525,0.58333333
0.725,0.575
0.325,0.34166667
0.058333333,0.41666667
0.058333333,0.95833333
0.94166667,0.8
0.066666667,0.65
0.15833333,0.275
0.79166667,0.19166667
0.93333333,0.98333333
0.34166667,0.1
0.88333333,0.75
0.80833333,0.43333333
0.96666667,0.775
0.5,0.64166667
0.85,0.3
0.4,0.1
0.16666667,0.69166667
0.44166667,0.89166667
0.475,0.35833333
0.53333333,0.78333333
0.4,0.48333333
0.40833333,0.40833333
0.425,0.091666667
0.075,0.98333333
0.05,0.79166667
0.15833333,0.53333333
0.53333333,0.775
0.4,0.975
0.74166667,0.73333333
0.95833333,0.9
0.95833333,0.25
0.34166667,0.45833333
0.35,0.65
0.016666667,0.51666667
0.38333333,0.85
0.75833333,0.775
0.99166667,0.525
0.3,0.73333333
0.78333333,0.60833333
0.69166667,0.65833333
0.68333333,0.0083333333
0.36666667,0.65
0.625,0.033333333
0.016666667,0.975
0.975,0.11666667
0.50833333,0.066666667
0.80833333,0.025
0.475,0.25833333
0.73333333,0.54166667
0.75,0.25
0.41666667,0.175
0.058333333,0.29166667
0.16666667,0.63333333
0.25833333,0.10833333
0.99166667,0.18333333
0.10833333,0.55
0.275,0.49166667
0.96666667,1
0.24166667,0.18333333
0.25833333,0.58333333
0.65833333,0.66666667
0.84166667,0.225
0.275,0.066666667
0.4,0.083333333
0.35,0.55833333
0.24166667,0.091666667
0.058333333,0.30833333
0.23333333,0.0083333333
0.975,1
0.575,0.425
0.18333333,0.016666667
0.93333333,1
0.79166667,0.93333333
0.63333333,0.091666667
0.94166667,0.15
0.725,0.3
0.175,0.86666667
0.83333333,0.26666667
0.50833333,0.38333333
0.18333333,0.8
0.58333333,0.30833333
0.25,0.80833333
0.066666667,0.69166667
0.88333333,0.90833333
0.16666667,0.45
0.73333333,0.98333333
0.38333333,0.48333333
0.50833333,0.5
0.74166667,0.033333333
0.725,0.325
0.49166667,0.75833333
0.35833333,0.95
0.83333333,0.033333333
0.058333333,0.15
0.34166667,0.4
0.75833333,0.083333333
0.31666667,0.775
0.29166667,0.775
0.34166667,0.925
0.33333333,0.96666667
0.525,0.083333333
0.275,0.15
0.10833333,0.45833333
0.68333333,0.5
0.775,0.26666667
0.425,0.825
0.525,0.775
0.98333333,0.16666667
0.55833333,0.425
0.41666667,0.55833333
0.225,0.225
0.9,0.65
0.8,0.81666667
0.091666667,0.60833333
0.425,0.56666667
0.35,0.79166667
0.63333333,0.16666667
0.5,0.80833333
0.775,0.225
0.84166667,0.21666667
0.34166667,0.25833333
0.95,0.20833333
0.25,0.85
0.016666667,0.76666667
0.05,0.78333333
0.025,0.925
0.95833333,0.86666667
0.49166667,0.88333333
0.1,0.43333333
0.95833333,0.24166667
0.90833333,0.86666667
0.2,0.48333333
0.79166667,0.18333333
0.98333333,0.11666667
0.525,0.76666667
0.41666667,0.19166667
0.85833333,0.30833333
0.53333333,0.83333333
0.85833333,0.15833333
0.7,0.28333333
0.375,0.16666667
0.7,0.075
0.975,0.94166667
0.60833333,0.4
0.81666667,0.14166667
0.58333333,0.25
0.43333333,0.80833333
0.45833333,0.83333333
0.64166667,0.63333333
0.38333333,0.0083333333
0.525,0.11666667
0.99166667,0.10833333
0.38333333,0.98333333
0.091666667,0.34166667
0.45833333,0.475
0.15,0.38333333
0.96666667,0.10833333
0.21666667,0.69166667
0.125,0.86666667
0.875,0.083333333
0.225,0.05
0.70833333,0.76666667
0.33333333,0.33333333
0.90833333,0.58333333
0.85,0.35
0.78333333,0.73333333
0.69166667,0.86666667
0.68333333,0.18333333
0.35833333,0.74166667
0.36666667,0.61666667
0.7,0.91666667
0.625,0.175
0.24166667,0.63333333
0.84166667,0.66666667
0.89166667,0.625
0.71666667,0.475
0.81666667,0.19166667
0.88333333,0.425
0.70833333,0.70833333
1,0.83333333
0.39166667,0.29166667
0.45,0.46666667
0.74166667,0.58333333
0.38333333,0.68333333
0.85833333,0.3
0.73333333,0.30833333
0.88333333,0.20833333
0.51666667,0.35
0.016666667,0.63333333
0.39166667,0.525
0.61666667,0.11666667
0.16666667,0.7
1,0.925
1,0.59166667
0.95,0.35
0.51666667,0.36666667
0.80833333,0.66666667
0.94166667,0.60833333
0.30833333,0.50833333
0.94166667,0.55
0.95,0.18333333
0.89166667,0.55833333
0.81666667,0.88333333
0.058333333,0.25
0.63333333,0.54166667
0.8,0.75
0.44166667,0.64166667
1,0.85833333
0.091666667,0.525
0.825,0.60833333
0.55,0.925
0.4,0.58333333
0.2,0.29166667
0.825,0.15
0.91666667,0.925
0.21666667,0.6
0.30833333,0.66666667
0.90833333,0.2
0.86666667,0.091666667
0.60833333,0.61666667
0.58333333,0.21666667
0.083333333,0.15833333
0.46666667,0.18333333
0.2,0.725
0.8,0.033333333
0.125,0.49166667
0.15833333,0.89166667
0.6,0.26666667
0.525,0.36666667
0.55,0.39166667
0.14166667,0.25
0.95,0.14166667
0.23333333,0.4
0.4,0.325
0.625,0.075
0.975,0.75833333
0.725,0.50833333
0.99166667,0.13333333
0.59166667,0.61666667
0.45,0.64166667
0.60833333,0.48333333
0.59166667,0.98333333
0.525,0.4
0.94166667,0.625
0.975,0.875
0.74166667,0.43333333
0.325,0.84166667
0.3,0.525
0.59166667,0.85
0.175,0.3
0.875,0.525
0.70833333,0.28333333
0.9,0.24166667
0.575,0.49166667
0.59166667,0.33333333
0.15,0.79166667
0.55833333,0.058333333
0.75,0.48333333
0.016666667,0.84166667
0.48333333,0.55
0.13333333,0.23333333
0.0083333333,0.85833333
0.39166667,0.33333333
0.60833333,0.88333333
0.91666667,0.71666667
0.16666667,0.65833333
0.63333333,0.7
0.21666667,0.90833333
0.58333333,0.40833333
0.3,0.85833333
0.125,0.11666667
0.083333333,0.425
0.93333333,0.69166667
0.525,0.35
0.68333333,0.016666667
0.66666667,0.61666667
0.14166667,0.98333333
0.66666667,0.2
0.31666667,0.19166667
0.70833333,0.23333333
0.775,0.083333333
0.5,0.98333333
0.033333333,0.31666667
0.35,0.71666667
0.6,0.10833333
0.4,0.05
0.975,0.63333333
0.43333333,0.3
0.99166667,0.5
0.066666667,0.48333333
0.75,0.725
0.50833333,0.89166667
0.65,0.025
0.575,0.75833333
0.75,0.95
0.9,0.56666667
0.45,0.41666667
0.43333333,0.066666667
0.5,0.6
0.31666667,0.91666667
0.73333333,0.175
0.175,0.275
0.73333333,0.14166667
0.63333333,0.79166667
0.55833333,0.30833333
0.56666667,1
0.55,1
0.49166667,0.51666667
0.60833333,0.2
0.25833333,0.68333333
0.56666667,0.64166667
0.40833333,0.1
0.48333333,0.69166667
0.65833333,0.35833333
0.625,0.25833333
0.53333333,0.75833333
0.96666667,0.35833333
0.20833333,0.75833333
0.68333333,0.86666667
0.98333333,0.50833333
0.5,0.091666667
0.375,0.81666667
0.925,0.68333333
0.75833333,0.20833333
0.96666667,0.35
0.41666667,0.55
0.44166667,0.40833333
0.93333333,0.36666667
0.83333333,0.29166667
0.39166667,0.325
0.066666667,0.21666667
0.20833333,0.875
0.65833333,0.8
0.95833333,0.45
0.50833333,0.083333333
0.34166667,0.63333333
0.31666667,0.64166667
0.86666667,0.91666667
0.925,0.93333333
0.11666667,0.19166667
0.066666667,0.38333333
0.39166667,0.24166667
0.93333333,0.46666667
0.575,0.25833333
0.51666667,0.075
0.0083333333,0.31666667
0.4,0.11666667
0.075,0.25833333
0.98333333,0.016666667
0.066666667,0.375
0.066666667,0.78333333
0.60833333,0.25
0.74166667,0.63333333
0.24166667,0.25833333
0.125,0.041666667
0.85,0.11666667
0.10833333,0.925
0.65833333,0.45
0.041666667,0.20833333
0.69166667,0.64166667
0.125,0.28333333
0.375,0.44166667
0.86666667,0.30833333
0.24166667,0.16666667
0.45,0.083333333
0.91666667,0.125
0.041666667,0.91666667
0.39166667,0.625
0.016666667,0.98333333
0.26666667,0.15
0.89166667,0.59166667
0.4,0.35
0.84166667,0.15833333
0.21666667,0.016666667
0.23333333,0.2
0.20833333,0.4
0.94166667,0.9
0.35833333,0.75
0.83333333,0.175
0.85833333,0.15
0.54166667,0.94166667
0.49166667,0.86666667
0.033333333,0.41666667
0.9,0.58333333
0.95,0.10833333
0.55,0.175
0.79166667,0.44166667
0.63333333,0.55
0.24166667,0.78333333
0.30833333,0.075
0.28333333,0.54166667
0.60833333,0.85
0.30833333,0.39166667
0.49166667,0.23333333
0.60833333,0.40833333
0.76666667,0.40833333
0.36666667,0.35
0.46666667,0.48333333
0.11666667,0.96666667
0.30833333,0.175
0.825,0.45
0.15833333,0.58333333
0.70833333,0.1
0.95,0.86666667
0.3,0.15
0.625,0.525
0.18333333,0.7
0.75,0.058333333
0.66666667,0.20833333
0.11666667,0.05
0.45833333,0.19166667
0.90833333,0.3
0.91666667,0.375
0.50833333,0.575
0.85833333,0.025
0.75833333,0.49166667
0.725,0.20833333
0.083333333,0.68333333
0.033333333,0.80833333
0.23333333,0.63333333
0.73333333,0.925
0.425,0.49166667
0.98333333,0.75833333
0.41666667,0.95
0.425,0.3
0.95833333,0.73333333
0.14166667,0.18333333
0.225,0.85
0.58333333,0.16666667
0.50833333,0.9
0.86666667,0.19166667
0.38333333,0.46666667
0.975,0.85833333
0.64166667,0.36666667
0.85,0.625
0.35833333,0.041666667
0.54166667,0.775
0.725,0.95
0.88333333,0.091666667
0.7,0.41666667
0.39166667,0.45
0.14166667,0.11666667
0.61666667,0.81666667
0.35,0.63333333
0.875,0.45833333
0.375,0.041666667
0.1,0.425
0.975,0.78333333
0.7,0.49166667
0.36666667,0.5
0.79166667,0.73333333
0.25833333,0.525
0.1,0.275
0.54166667,0.60833333
0.66666667,0.425
0.59166667,0.90833333
0.89166667,1
0.4,0.43333333
0.033333333,0.48333333
0.69166667,0.016666667
0.33333333,0.73333333
0.35,0.89166667
0.14166667,0.26666667
0.76666667,0.6
0.89166667,0.78333333
0.40833333,0.39166667
0.91666667,0.75
0.15,0.925
0.51666667,0.0083333333
0.53333333,0.10833333
0.14166667,0.48333333
0.075,0.041666667
0.425,0.525
0.3,0.725
0.175,0.26666667
0.1,0.18333333
0.48333333,0.61666667
0.24166667,0.48333333
0.86666667,0.44166667
0.15833333,0.86666667
0.725,0.85
0.16666667,0.225
0.375,0.76666667
0.31666667,0.23333333
0.54166667,0.575
0.49166667,0.41666667
0.88333333,0.58333333
0.69166667,0.0083333333
0.575,0.53333333
0.40833333,0.125
0.675,0.425
0.26666667,0.16666667
0.13333333,0.025
0.76666667,0.80833333
0.675,0.15833333
0.48333333,0.54166667
0.43333333,0.30833333
0.23333333,0.69166667
0.45,0.85833333
0.375,0.50833333
0.525,0.60833333
0.75833333,0.50833333
0.66666667,0.075
0.041666667,0.775
0.083333333,0.78333333
0.93333333,0.81666667
0.9,0.19166667
0.13333333,0.60833333
0.475,0.1
0.325,0.625
0.63333333,0.93333333
0.99166667,0.75
0.7,0.85
0.95833333,0.16666667
0.84166667,0.775
0.88333333,0.11666667
0.9,0.675
0.91666667,0.8
0.30833333,0.775
0.36666667,0.016666667
0.125,0.44166667
0.45,0.45833333
0.058333333,0.725
0.91666667,0.041666667
0.425,1
0.14166667,0.96666667
0.50833333,0.18333333
0.80833333,0.15
0.31666667,0.425
0.23333333,0.20833333
0.61666667,0.475
0.225,0.875
0.26666667,0.29166667
0.81666667,0.48333333
0.675,0.275
0.15,0.76666667
0.775,0.28333333
0.083333333,0.71666667
0.55,0.48333333
0.5,0.05
0.46666667,0.70833333
0.475,0.9
0.525,0.225
0.1,0.53333333
0.825,0.325
0.05,0.9
0.041666667,0.64166667
0.31666667,0.98333333
0.875,0.225
0.95833333,0.98333333
0.8,0.45
0.40833333,0.6
0.29166667,0.0083333333
0.46666667,0.15
0.80833333,0.85833333
0.45,0.65
0.091666667,0.20833333
0.44166667,0.225
0.85833333,0.73333333
0.475,0.13333333
0.91666667,0.36666667
0.65833333,0.575
0.925,0.075
0.21666667,0.80833333
0.175,0.13333333
0.225,0.41666667
0.058333333,0.28333333
0.15833333,0.925
0.51666667,0.675
0.425,0.19166667
0.89166667,0.84166667
0.81666667,0.125
0.96666667,0.425
0.10833333,0.96666667
0.76666667,0.35833333
0.775,0.38333333
0.05,0.8
0.4,0.25833333
0.975,0.66666667
0.19166667,0.33333333
0.85,0.21666667
0.15833333,0.11666667
0.31666667,0.066666667
0.58333333,0.36666667
0.43333333,0.36666667
0.7,0.525
0.45833333,0.525
0.725,0.69166667
0.39166667,0.6
0.575,0.44166667
0.55,0.425
0.14166667,0.83333333
0.45833333,0.55
0.59166667,0.30833333
0.75833333,0.31666667
0.46666667,0.0083333333
0.475,0.16666667
0.475,0.825
0.44166667,0.45833333
0.90833333,0.975
0.025,0.31666667
0.83333333,0.066666667
0.83333333,0.325
0.8,0.49166667
0.13333333,0.15833333
0.775,0.10833333
0.825,0.775
0.84166667,0.65833333
0.225,0.95
0.64166667,0.15833333
0.33333333,0.84166667
0.86666667,0.65833333
0.81666667,0.66666667
0.44166667,0.15
0.066666667,0.68333333
0.025,0.225
0.26666667,0.725
0.41666667,0.96666667
0.825,0.39166667
0.575,0.23333333
0.058333333,0.041666667
0.19166667,0.99166667
0.3,0.33333333
0.43333333,0.15833333
1,0.53333333
0.625,0.975
0.475,0.14166667
0.84166667,0.75833333
0.48333333,0.525
0.51666667,0.975
0.79166667,0.83333333
0.88333333,0.8
0.925,0.94166667
0.11666667,0.033333333
0.99166667,0.975
0.55,0.40833333
0.075,0.95833333
0.775,0.525
0.51666667,0.66666667
0.54166667,0.375
0.74166667,0.6
0.74166667,0.95833333
0.0083333333,0.83333333
0.34166667,0.325
0.45,0.94166667
0.70833333,0.13333333
0.48333333,0.11666667
0.55,0.0083333333
0.058333333,0.55
0.24166667,0.24166667
0.775,0.375
0.016666667,0.30833333
0.46666667,0.325
0.15,0.4
0.2,0.65833333
0.225,0.49166667
0.625,0.96666667
0.8,0.825
0.91666667,0.525
0.7,0.90833333
0.7,0.45833333
0.325,0.50833333
0.18333333,0.025
0.058333333,0.40833333
0.14166667,0.525
0.35833333,0.19166667
0.48333333,0.90833333
0.75833333,0.7
0.71666667,0.11666667
0.88333333,0.016666667
0.275,0.325
0.23333333,0.91666667
0.84166667,0.89166667
0.083333333,0.44166667
0.19166667,0.825
0.38333333,0.21666667
0.25833333,0.475
0.35833333,0.41666667
0.025,0.83333333
0.25,0.45833333
0.35833333,0.15
0.59166667,0.14166667
0.19166667,0.058333333
0.58333333,0.26666667
0.53333333,0.61666667
0.16666667,0.0083333333
0.78333333,0.43333333
0.45833333,0.45833333
0.29166667,0.78333333
0.66666667,0.066666667
0.78333333,0.033333333
0.0083333333,0.48333333
0.44166667,0.58333333
0.83333333,0.63333333
0.95,0.98333333
0.18333333,0.041666667
0.43333333,0.75
0.58333333,0.058333333
0.83333333,0.46666667
0.69166667,0.31666667
0.175,0.99166667
0.65833333,0.066666667
0.033333333,0.875
0.64166667,0.925
0.575,0.69166667
0.30833333,0.71666667
0.94166667,0.18333333
0.11666667,0.6
0.29166667,0.40833333
0.29166667,0.85833333
0.86666667,0.90833333
0.575,0.28333333
0.225,0.88333333
0.925,0.13333333
0.55,0.93333333
0.775,0.18333333
0.091666667,0.28333333
0.26666667,0.9
0.70833333,0.033333333
0.1,0.29166667
0.29166667,0.93333333
0.70833333,0.35
0.29166667,0.875
0.875,0.091666667
0.18333333,0.95
0.18333333,0.96666667
0.975,0.675
0.59166667,0.15833333
0.325,0.0083333333
0.083333333,0.60833333
0.525,0.75
0.79166667,0.033333333
0.78333333,0.083333333
0.86666667,0.10833333
0.575,0.60833333
0.74166667,0.44166667
0.93333333,0.50833333
0.68333333,0.6
0.825,0.125
0.033333333,0.23333333
0.60833333,0.25833333
0.78333333,0.14166667
0.45833333,0.39166667
0.575,0.93333333
0.46666667,0.65
0.93333333,0.10833333
0.825,0.90833333
0.033333333,0.70833333
0.725,0.65833333
0.475,0.058333333
0.475,0.74166667
0.925,0.91666667
0.46666667,0.53333333
0.43333333,0.63333333
0.39166667,0.34166667
0.36666667,0.0083333333
1,0.19166667
0.56666667,0.13333333
0.64166667,0.175
0.95833333,0.125
0.15833333,0.45833333
0.69166667,0.775
0.49166667,0.016666667
0.40833333,0.0083333333
0.30833333,0.94166667
0.38333333,0.925
0.35,0.125
0.13333333,0.85833333
0.48333333,0.96666667
0.975,0.59166667
0.25833333,0.775
0.76666667,0.775
0.63333333,0.94166667
0.083333333,0.10833333
0.35833333,0.93333333
0.16666667,0.95
0.875,0.7
0.58333333,0.55833333
0.225,0.94166667
0.41666667,0.16666667
0.14166667,0.58333333
0.66666667,0.675
0.5,0.25
0.1,0.76666667
0.375,0.43333333
0.6,0.53333333
0.24166667,0.066666667
0.11666667,0.30833333
0.7,0.73333333
0.48333333,0.78333333
0.475,0.34166667
0.79166667,0.775
0.075,0.56666667
0.90833333,0.20833333
0.53333333,0.38333333
0.13333333,0.5
0.425,0.14166667
0.041666667,0.50833333
0.59166667,0.21666667
0.85,0.83333333
0.85833333,0.41666667
0.5,0.35833333
0.05,0.85833333
0.25,0.95833333
0.091666667,0.225
0.7,0.041666667
0.825,0.975
0.33333333,0.86666667
0.85,0.18333333
0.94166667,0.85833333
0.94166667,0.55833333
0.39166667,0.90833333
0.8,0.93333333
0.2,0.15
0.35833333,0.99166667
0.6,0.73333333
0.73333333,0.15
0.083333333,0.9
0.5,0.125
0.40833333,0.425
0.69166667,1
0.275,0.2
0.83333333,0.45
0.775,0.71666667
0.29166667,0.25
0.625,0.88333333
0.0083333333,0.63333333
0.14166667,0.71666667
0.041666667,0.11666667
0.475,0.60833333
0.7,0.875
0.40833333,0.46666667
0.20833333,0.275
0.79166667,0.99166667
0.58333333,0.7
